CHRG_DESC,PREM_DESC,ADDRESS,LAT_LONG,DATETIME,DOW,DISTRICT,CASE_NUMBER
BURGLARY,RESIDENCE/HOME,9 WELCOME ST,"41.306862, -72.8865409",2019-10-07T13:06:00Z,MON,9,19040521
BURGLARY,RESIDENCE/HOME,172 WESTMINSTER ST,"41.3345247, -72.867725",2019-10-10T11:38:00Z,THU,9,19040914
LARCENY,RESIDENCE/HOME,1173 QUINNIPIAC AVE,"41.31891239999999, -72.8749247",2019-10-07T09:16:00Z,MON,9,19040464
LARCENY,RESIDENCE/HOME,144 FORT HALE RD,"41.2727137, -72.89791919999999",2019-10-07T16:02:00Z,MON,9,19040520
LARCENY,PARKING LOT/GARAGE,1314 QUINNIPIAC AVE,"41.3226438, -72.8730652",2019-10-08T07:37:00Z,TUE,9,19040582
LARCENY,RESIDENCE/HOME,204 BURR ST,"41.26986489999999, -72.8912659",2019-10-10T10:56:00Z,THU,9,19040899
BURGLARY,RESTAURANT,169 WHALLEY AVE,"41.3155367, -72.938222",2019-10-08T05:35:00Z,TUE,10,19040581
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,DICKERMAN ST & SPERRY,"41.3151343, -72.9351642",2019-10-10T02:02:00Z,THU,10,19040853
LARCENY,RESIDENCE/HOME,554 WINTHROP AVE,"41.3199591, -72.9431953",2019-10-07T08:20:00Z,MON,10,19040459
LARCENY,RESIDENCE/HOME,51 PENDLETON ST,"41.317901, -72.953223",2019-10-09T09:00:00Z,WED,10,19040742
LARCENY,STREET/HIGHWAY/ALLEYWAY,522 WINTHROP AVE,"41.3195185, -72.9435882",2019-10-08T09:18:00Z,TUE,10,19040500
LARCENY,STREET/HIGHWAY/ALLEYWAY,ROGER WHITE DR & DIAM,"41.3295638, -72.94821979999999",2019-10-11T12:19:00Z,FRI,10,19041045
LARCENY,STREET/HIGHWAY/ALLEYWAY,221 DIAMOND ST,"41.33027, -72.948369",2019-10-11T09:12:00Z,FRI,10,19041021
LARCENY,STREET/HIGHWAY/ALLEYWAY,50 CARMEL ST,"41.3185176, -72.9428644",2019-10-13T14:13:00Z,SUN,10,19041318
LARCENY,RESIDENCE/HOME,168 ELLSWORTH AVE,"41.31546420000001, -72.9492757",2019-10-13T18:05:00Z,SUN,10,19041333
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,241 ELLSWORTH AVE,"41.3174842, -72.9477406",2019-10-07T08:56:00Z,MON,10,19040466
INTIMIDATION WITH A WEAPON,STREET/HIGHWAY/ALLEYWAY,160 TEMPLE ST,"41.3061391, -72.92784309999999",2020-01-31T00:03:00Z,FRI,1,20005389
LARCENY,PARKING LOT/GARAGE,253 STATE ST,"41.304124, -72.92286",2020-01-27T08:14:00Z,MON,1,20004565
LARCENY,STREET/HIGHWAY/ALLEYWAY,78 OLIVE ST,"41.3048451, -72.9206334",2020-01-27T12:36:00Z,MON,1,20004621
LARCENY,PARKING LOT/GARAGE,ELM ST & CHURCH ST,"41.3082218, -72.92416290000001",2020-02-01T10:14:00Z,SAT,1,20005601
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,66 ORANGE ST,"41.3046197, -72.9251553",2020-01-30T09:33:00Z,THU,1,20005216
LARCENY,STREET/HIGHWAY/ALLEYWAY,CROWN STREET/PARK,"41.3060093, -72.9296141",2020-01-27T10:40:00Z,MON,1,20004591
MOTOR VEHICLE THEFT,RESIDENCE/HOME,234 FOUNTAIN ST,"41.326637, -72.96747",2020-01-28T05:52:00Z,TUE,2,20004775
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,19 AUGUSTINE ST,"41.3493498, -72.9552637",2020-01-31T13:45:00Z,FRI,2,20005463
BURGLARY,RESTAURANT,84 KIMBERLY AVE,"41.2899439, -72.93379519999999",2020-01-31T02:38:00Z,FRI,3,20005399
LARCENY,STREET/HIGHWAY/ALLEYWAY,194 SPRING ST,"41.2935541, -72.9371749",2020-01-29T13:25:00Z,WED,3,20004824
LARCENY,CHURCH/SYNAGOGUE/TEMPLE,577 HOWARD AVE,"41.2967556, -72.933553",2020-01-27T15:44:00Z,MON,3,20004657
LARCENY,PARKING LOT/GARAGE,72 SPRING ST,"41.2942547, -72.93173039999999",2020-02-01T08:31:00Z,SAT,3,20005594
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,241 KIMBERLY AVE,"41.2863827, -72.9366213",2020-01-28T05:12:00Z,TUE,3,20004774
AGGRAVATED ASSAULT,STREET/HIGHWAY/ALLEYWAY,1450 CHAPEL ST,"41.3105212, -72.9417689",2020-01-31T01:42:00Z,FRI,4,20005397
LARCENY,PARKING LOT/GARAGE,1290 CHAPEL ST,"41.3097571, -72.9379369",2020-01-28T22:08:00Z,TUE,4,20004935
LARCENY,STREET/HIGHWAY/ALLEYWAY,372 ELM ST,"41.3116607, -72.9334392",2020-01-29T00:42:00Z,WED,4,20004948
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,135 DERBY AVE,"41.3107922, -72.9509472",2020-01-28T13:23:00Z,TUE,4,20004831
ROBBERY,STREET/HIGHWAY/ALLEYWAY,198 PARK ST,"41.3091002, -72.9335734",2020-01-30T14:42:00Z,THU,4,20005252
ROBBERY,SPECIALITY STORE,495 ORCHARD ST,"41.3149539, -72.9392403",2020-02-02T12:13:00Z,SUN,4,20005770
ROBBERY,STREET/HIGHWAY/ALLEYWAY,273 SHERMAN AVE,"41.3154032, -72.9425732",2020-02-02T22:52:00Z,SUN,4,20005837
LARCENY,PARKING LOT/GARAGE,886 HOWARD AVE,"41.304789, -72.937511",2020-01-28T09:49:00Z,TUE,5,20004802
LARCENY,OTHER/UNKNOWN,1 PARK ST,"41.3043831, -72.936538",2020-01-31T22:59:00Z,FRI,5,20005551
MOTOR VEHICLE THEFT,CONVENIENCE STORE,58 SYLVAN AVE,"41.30449249999999, -72.9406765",2020-01-28T18:09:00Z,TUE,5,20004907
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,322 DAVENPORT AVE,"41.2996364, -72.9440048",2020-02-01T22:07:00Z,SAT,5,20005702
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,226 DIXWELL AVE,"41.31911849999999, -72.93437109999999",2020-01-28T15:07:00Z,TUE,6,20004851
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,DIXWELL AVE,"41.3318066, -72.9351739",2020-01-28T10:47:00Z,TUE,6,20004806
LARCENY,STREET/HIGHWAY/ALLEYWAY,869 ORANGE ST,"41.323787, -72.90953499999999",2020-01-27T08:11:00Z,MON,7,20004562
LARCENY,STREET/HIGHWAY/ALLEYWAY,544 WHITNEY AVE,"41.3255392, -72.91648049999999",2020-01-27T12:53:00Z,MON,7,20004626
LARCENY,PARKING LOT/GARAGE,649 WINCHESTER AVE,"41.32898400000001, -72.92621489999999",2020-01-29T13:18:00Z,WED,7,20005049
LARCENY,PARKING LOT/GARAGE,170 MITCHELL DR,"41.3236739, -72.908367",2020-02-01T10:48:00Z,SAT,7,20005604
LARCENY,STREET/HIGHWAY/ALLEYWAY,313 ST RONAN,"41.3236401, -72.91851079999999",2020-01-27T09:43:00Z,MON,7,20004576
MOTOR VEHICLE THEFT,PARKING LOT/GARAGE,800 ORANGE ST,"41.3224144, -72.91184299999999",2020-01-30T12:33:00Z,THU,7,20005257
MOTOR VEHICLE THEFT,STREET/HIGHWAY/ALLEYWAY,78 SHEFFIELD AVE,"41.3268025, -72.92614739999999",2020-02-02T11:39:00Z,SUN,7,20005769
ROBBERY,STREET/HIGHWAY/ALLEYWAY,20 LAWRENCE ST,"41.3167655, -72.90925890000001",2020-01-31T20:03:00Z,FRI,7,20005531
ROBBERY,STREET/HIGHWAY/ALLEYWAY,DIXWELL AVE & BASSET,"41.3325006, -72.9351629",2020-02-02T16:35:00Z,SUN,7,20005793
AGGRAVATED ASSAULT,PARKING LOT/GARAGE,299 BLATCHLEY AVE,"41.310558, -72.89935799999999",2020-02-01T16:39:00Z,SAT,8,20005650
BURGLARY,RESIDENCE/HOME,480 FERRY ST,"41.3128185, -72.8972379",2020-01-30T15:27:00Z,THU,8,20005276
LARCENY,STREET/HIGHWAY/ALLEYWAY,146 GRAFTON ST,"41.31323099999999, -72.89506519999999",2020-01-27T09:10:00Z,MON,8,20004569
LARCENY,PARKING LOT/GARAGE,386 GRAND AVE,"41.3083066, -72.9025253",2020-01-27T07:53:00Z,MON,8,20004573
LARCENY,STREET/HIGHWAY/ALLEYWAY,182 JAMES ST,"41.3073199, -72.90326",2020-01-30T16:30:00Z,THU,8,20005294
